user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,wait_time
166377,2019-08-22 00:00:00+03:00,out,False,880026,False,23,2979,3062,83
166377,2019-08-22 00:00:00+03:00,out,False,880028,True,18,0,710,710
166377,2019-08-22 00:00:00+03:00,out,False,880028,False,15,1866,1992,126
166377,2019-08-22 00:00:00+03:00,in,False,880020,False,1,33,49,16
166377,2019-08-22 00:00:00+03:00,in,False,-1,True,1,0,1,1
166377,2019-08-22 00:00:00+03:00,out,False,880026,True,6,0,55,55
166377,2019-08-23 00:00:00+03:00,in,False,880026,False,1,45,52,7
166377,2019-08-23 00:00:00+03:00,out,False,880026,True,11,0,54,54
166377,2019-08-23 00:00:00+03:00,in,False,-1,True,2,0,47,47
166377,2019-08-23 00:00:00+03:00,in,False,880028,False,1,41,54,13
166377,2019-08-23 00:00:00+03:00,out,False,880028,False,24,2242,2413,171
166377,2019-08-23 00:00:00+03:00,out,False,880026,False,43,3435,3654,219
166377,2019-08-23 00:00:00+03:00,out,False,880028,True,24,0,597,597
166377,2019-08-23 00:00:00+03:00,out,False,880026,False,43,3435,3654,219
166377,2019-08-23 00:00:00+03:00,in,False,880026,False,1,45,52,7
166377,2019-08-24 00:00:00+03:00,in,False,-1,True,2,0,35,35
166377,2019-08-26 00:00:00+03:00,out,True,880022,True,3,0,0,0
166377,2019-08-26 00:00:00+03:00,in,False,880028,False,2,285,302,17
166377,2019-08-26 00:00:00+03:00,out,False,880026,False,28,3298,3395,97
166377,2019-08-26 00:00:00+03:00,out,False,880028,True,4,0,241,241
166377,2019-08-26 00:00:00+03:00,out,False,880022,False,3,1079,1093,14
166377,2019-08-26 00:00:00+03:00,out,False,880028,False,5,426,487,61
166377,2019-08-26 00:00:00+03:00,out,False,880026,True,2,0,46,46
166377,2019-08-27 00:00:00+03:00,out,False,880026,False,22,3242,3329,87
166377,2019-08-27 00:00:00+03:00,out,False,880026,True,5,0,119,119
166377,2019-08-27 00:00:00+03:00,out,False,880028,True,27,0,983,983
166377,2019-08-27 00:00:00+03:00,out,False,880028,False,20,2784,2979,195
166377,2019-08-27 00:00:00+03:00,out,False,880028,False,20,2784,2979,195
166377,2019-08-28 00:00:00+03:00,out,False,880026,True,11,0,129,129
166377,2019-08-28 00:00:00+03:00,out,False,880026,False,16,1783,1868,85
166377,2019-08-28 00:00:00+03:00,out,False,880028,False,19,1485,1777,292
166377,2019-08-28 00:00:00+03:00,out,False,880028,True,29,0,993,993
166377,2019-08-29 00:00:00+03:00,out,False,880026,False,22,3244,3396,152
166377,2019-08-29 00:00:00+03:00,in,False,880026,False,1,48,52,4
166377,2019-08-29 00:00:00+03:00,out,False,880028,True,16,0,662,662
166377,2019-08-29 00:00:00+03:00,out,False,880026,True,23,0,321,321
166377,2019-08-29 00:00:00+03:00,in,False,-1,True,2,0,60,60
166377,2019-08-29 00:00:00+03:00,out,False,880028,False,25,2323,2595,272
166377,2019-08-29 00:00:00+03:00,out,False,880028,False,25,2323,2595,272
166377,2019-08-30 00:00:00+03:00,out,False,880028,True,8,0,384,384
166377,2019-08-30 00:00:00+03:00,out,False,880026,False,24,1653,1864,211
166377,2019-08-30 00:00:00+03:00,in,False,880028,False,1,45,65,20
166377,2019-08-30 00:00:00+03:00,out,False,880022,False,1,239,257,18
166377,2019-08-30 00:00:00+03:00,out,False,880028,False,14,989,1099,110
166377,2019-08-30 00:00:00+03:00,out,False,880026,True,11,0,292,292
166377,2019-09-02 00:00:00+03:00,in,False,880028,False,2,66,75,9
166377,2019-09-02 00:00:00+03:00,in,False,880026,False,1,31,34,3
166377,2019-09-02 00:00:00+03:00,out,False,880026,False,16,1853,1983,130
166377,2019-09-02 00:00:00+03:00,out,False,880026,True,6,0,168,168
166377,2019-09-02 00:00:00+03:00,out,False,880028,False,20,2529,2687,158
166377,2019-09-02 00:00:00+03:00,out,False,880028,True,29,0,1345,1345
166377,2019-09-02 00:00:00+03:00,out,True,880020,True,2,0,0,0
166377,2019-09-02 00:00:00+03:00,out,False,880020,True,2,0,3,3
166377,2019-09-03 00:00:00+03:00,out,False,880028,False,17,1573,1733,160
166377,2019-09-03 00:00:00+03:00,in,False,-1,True,1,0,20,20
